idbarrio,idlocalizacion,"barrio"
1,1,"Centro Valladolid"
2,1,"Caño Argales"
3,1,"San Pablo"
4,1,"San Nicolas"
5,1,"San Miguel"
6,1,"Circular"
7,1,"San Juan"
8,1,"Vadillos"
9,1,"Batallas"
10,1,"Rondilla"
11,1,"Santa Clara"
12,1,"Huerta del Rey"
13,1,"Paseo Zorrilla"
14,1,"Pajarillos"
15,1,"Pilarica"
16,1,"Barrio Belén"
17,1,"San Pedro Regalado"
18,1,"Barrio España"
19,1,"La Victoria"
20,1,"Girón"
21,1,"Parquesol"
22,1,"Arturo Eyríes"
23,1,"Covaresa"
24,1,"La Rubia"
25,1,"Arturo León"
26,1,"Cuatro de Marzo"
27,1,"Delicias"
28,1,"Las Flores"
29,1,"San Isidro"
30,1,"Overuela"
31,1,"Pinar de Antequera"
32,1,"Puente Duero"
33,2,"Ave María"
34,2,"Avenida de Madrid"
35,2,"Allende el Río"
36,2,"Campo de la Juventud"
37,2,"Centro Palencia"
38,2,"El Carmen"
39,2,"Pan y Guindas"
40,2,"San Antonio"
41,2,"San Juanillo"
42,2,"Santa Marina"
43,2,"Santiago"
44,2,"El Cristo"
45,3,"Ezequiel González"
46,3,"El Carmen"
47,3,"Pza. Mayor - San Agustín"
48,3,"José Zorrilla - Padre Claret"
49,3,"San Lorenzo - San Marcos"
50,3,"Vía Romana"
51,3,"Sector Plaza de Toros"
52,3,"Nueva Segovia"
53,3,"Zamarramala"
54,4,"Cañaverón - Virgen del Espino - Calvario"
55,4,"Centro Soria"
56,4,"Pajaritos - Campus Duques de Soria"
57,4,"Santa Bárbara"
58,4,"Yagüe"
59,1,"San Pedro - El Hospital"
60,1,"Otros Valladolid"
64,1,"Campo Grande"
