idpiso,"imagen","descripcion",orden
669,"P6070081retocada.jpg","FACHADA",7
669,"P1210075.JPG","COCINA",6
669,"TERRAZA_3.JPG","TERRAZA 3",5
669,"P1210061.JPG","TERRAZA",4
1981,"IMG-20170710-WA0021[1].jpg","habitación con armario empotrado",4
1979,"DM-23.JPG","habitación doble",5
1979,"DM-4.JPG","cocina",1
1975,"IMG_20170629_181432928.jpg","baño",1
1975,"IMG_20170629_181852082.jpg","Salón",2
1975,"IMG_20170629_181551856_HDR.jpg","Cocina",3
708,"DOR-41.JPG","DORMITORIO 4",7
670,"P7040059.jpg","Una de las habitaciones",1
1960,"2014-01-07_14.21_.28_.jpg","baño",4
1087,"estudio.Juana_.habitación_.1_.jpg","habitación principal",3
1975,"IMG_20170629_182357907_HDR.jpg","Habitacion 1",4
395,"Habitación_segunda.JPG","Habitación disponible",0
1348,"20131110_121803.jpg","Salon",3
1348,"20131110_121749.jpg","Salon",2
695,"P1010210.JPG","Habitacion 3",5
396,"IMG_20170922_1708571.jpg","Habitación 2 - 1",3
693,"160920092578.jpg","Cocina",10
693,"160920092574.jpg","Cocina",9
693,"160920092581.jpg","Pasillo",8
693,"160920092571.jpg","Pasillo",7
693,"290120113859.jpg","Baño",6
693,"060220113863.jpg","Baño",5
693,"290120113857.jpg","Baño",4
693,"290120113852.jpg","Baño",3
695,"P1010203.JPG","Habitación 2",4
696,"DSC_0027_stitch.jpg","Salón",3
696,"DSC_0022.JPG","Cabecero",2
696,"DSC_0025_stitch.jpg","salón",1
695,"P1010201.JPG","Habitación 1",3
695,"P1010198.JPG","Baño",2
695,"P1010186.JPG","Salon",1
822,"2012-08-18_13.49_.14_.jpg","habitación",1
684,"0ctubre_2015_orange_rego_717.jpg","HABITACION",4
684,"SAM_0830.JPG","Salón",3
2018,"20170827_151135.jpg","Habitación ",2
2017,"IMG_20170824_172915.JPG","cocina",3
2017,"IMG_20170824_172419.JPG","habitación sencilla",2
2017,"IMG_20170824_172437.JPG","habitación doble",1
701,"banho.jpg","banho/ bathroom",0
708,"DOR-4.JPG","DORMITORIO 4",6
708,"DOR-2.JPG","DORMITORIO 2",5
708,"DOR-1.JPG","DORMITORIO 1",4
708,"DOR-3.JPG","DORMITORIO 3",3
708,"SIERRA.JPG","VISTAS_SIERRA",2
708,"VISTA_CAMPUS1.JPG","VISTAS_CAMPUS",1
397,"habitacion_3.JPG","Habitación 3",3
397,"habitacion_2.JPG","Habitación 2",2
998,"liquidacion_curso_1_019.jpg","habitacion",1
837,"20150805_123747.jpg","Dormitorio",4
2064,"IMG_20180601_1612032.jpg","5",6
981,"PB280019.HALL_entrada_.JPG","HALL DE ENTRADA A LA VIVIENDA",2
976,"P1010298.JPG","dormitorio",5
1777,"937.jpg","ZONA",1
692,"P1010405.DIA_27_.8_.2012_.JPG","SALON",1
716,"Imagen_005.jpg","dormitorio 2",2
716,"Imagen_0042.jpg","dormitorio 1",1
887,"P1010423.JPG","cocina",2
397,"habitacion_1.JPG","habitación 1",1
972,"1098_0_foto_9_945856906934437.jpg","Cocina",2
775,"06082012449.jpg","Salón",2
775,"06082012448.jpg","Habitación que se alquila",1
1955,"HABITACION_3.jpg","HABITACION 3",9
1958,"IMG_0213.JPG","Cocina",2
792,"3406_1618361_1444203338.png","exterior",7
1958,"Copia_de_IMG_02181.JPG","salon",1
822,"2012-08-18_13.51_.15_.jpg","baño",6
822,"2012-08-18_13.50_.57_.jpg","cocina",5
822,"2012-08-18_13.50_.45_.jpg","cocina",4
822,"2012-08-18_13.49_.53_.jpg","salón",3
822,"2012-08-18_13.49_.41_.jpg","salón",2
661,"habitación_doble_casa31.jpg","Cuarto estar y estudio",4
976,"P1010286.JPG","salón",1
976,"P1010288.JPG","salón",2
945,"IMG_05942.JPG","cocina",8
2053,"CIMG94981.JPG","DORMITORIO2",4
2053,"CIMG95081.JPG","COCINA",5
2053,"CIMG95122.JPG","SALON",6
945,"IMG_05941.JPG","cocina",7
661,"habitación_doble_casa3.jpg","",3
972,"1098_0_foto_11_945856906934437.jpg","Porche",1
2053,"CIMG95011.JPG","CUARTO DE BAÑO",1
2053,"04012012392.jpg","DORMITORIO 1",2
2053,"CIMG9498.JPG","DORMITORIO2",3
805,"DORMITORIO_III.JPG","dormitorio",1
750,"DSC00422.JPG","Comedor/estudio",1
750,"DSC00423.JPG","Puerta acceso terraza en estudio",2
750,"DSC00424.JPG","dormitorio pequeño",3
750,"DSC00426.JPG","dormitorio pequeño",4
750,"DSC00427.JPG","dormitorio principal",5
750,"DSC00428.JPG","dormitorio principal",6
750,"DSC00429.JPG","Salón",7
750,"DSC00430.JPG","Salón",8
750,"DSC00431.JPG","Salón",9
750,"DSC00432.JPG","Cocina",10
750,"DSC00433.JPG","Cocina",11
750,"DSC00434.JPG","Cocina",12
750,"DSC00435.JPG","Baño",13
750,"DSC00436.JPG","Baño",14
750,"DSC00437.JPG","Baño",15
1968,"IMG_20170618_212623.jpg","Cocina",1
1966,"20170520_204000.jpg","baño conducha",4
1966,"20170520_204528.jpg","habitación 14 metros. Exterior",3
1966,"20170520_204239.jpg","Habitación de 12metros. Amueblada. Armario ropero",2
2077,"Foto0183.jpg","",2
2063,"3_habitac.jpg","Habitación 2",4
2082,"CIMG1178.JPG","Cocina",2
1966,"20170520_204101.jpg","cocina amueblada",1
1965,"100_2690.JPG","Estanteria de un dormitorio",2
1964,"IMG-20170610-WA0014.jpg","dormitorio 2",5
769,"COCINA1.JPG","cocina",2
769,"DORMITORIO_1.JPG","dormitorio1",1
769,"DORMITORIO_2.JPG","dormitorio2",3
769,"SALON_(2).JPG","salon2",4
769,"SALON.JPG","salon1",5
1961,"cuarto_tercero1.jpg","habitación 2",4
786,"1_salon_09_1001.jpg","s",1
786,"2_salon2_09_101.jpg","salon",2
786,"3_cocina2.jpg","cocina",3
786,"4_baño1.jpg","baño1",4
786,"5_baño_21.jpg","baño2",5
786,"6_habitacion_09_1041.jpg","habitacion",6
1152,"2013-07-19_09.29_.07_.jpg","habitacion individual",5
1961,"cuarto_primero1.jpg","habitación 1",2
1961,"collage1.jpg","baño y cocina",1
1958,"P81900931.JPG","baño",7
1958,"P8190093.JPG","baño",6
788,"4_cocina1.jpg","cocina",2
788,"habitación_p1.jpg","habitacion",1
788,"1_salon1.jpg","salon",3
788,"5_BAÃ‘O_pizarro_2010_0241.jpg","baño1",4
788,"5_baÃ±o_2pizarro_2010_0231.jpg","baño2",5
788,"7_TENDERERO_pizarro_2010_0281.jpg","tede",6
1958,"IMG_02282.JPG","frigorifico",3
788,"habitación_p13.jpg","habitacion",8
788,"habitación_p14.jpg","habitacion",9
1958,"P8190088.JPG","dormitorio. los 4 iguales",4
792,"3235_1196473_1444203327.png","exterior",6
1955,"HABITACION_2.jpg","HABITACION 2",3
1955,"HABITACION_11.jpg","HABITACION 1",2
1955,"COCINA7.jpg","COCINA ",1
908,"IMG_20170411_1002202.jpg","cocina",8
926,"CIMG0035.JPG","Salón",1
795,"IMG_19401.JPG","dormitorio",1
795,"IMG_1939.JPG","dormitorio",2
795,"IMG_1426.JPG","cocina",3
795,"IMG_1392.JPG","salón",4
795,"IMG_1397.JPG","salón",5
795,"IMG_1409.JPG","baño",6
795,"IMG_1163.JPG","aseo",7
795,"IMG_1148.JPG","dormitorio",8
795,"IMG_1150.JPG","dormitorio",9
1954,"IMG_20170506_202047.jpg","dormitorio",4
1954,"IMG_20170506_201559.jpg","dormitorio",5
739,"nuevas_fotos_Torr_006.jpg","baño",1
818,"Piso_(3).jpg","Habitación",4
2050,"CIMG0291.JPG","Habitación 2",4
2050,"CIMG0305.JPG","Habitación 1",3
2037,"DSC_1522.JPG","salón",5
2050,"2018-07-05_130116.jpg","Salón",2
805,"DORMITORIO_II.JPG","dormitorio",2
805,"SALON3.JPG","salon",3
805,"TERRAZA.JPG","terraza",4
805,"CAMPUS_DESDE_LA_TERRAZA.JPG","vistas nuevo campus UVA",5
805,"CATEDRAL_DESDE_LA_TERRAZA.JPG","vistas catedral",6
