idpiso,precio,"descripcion",idprecio
355,165,"habitación",0
355,420,"completo",1
355,165,"habitación",2
355,420,"completo",3
356,150,"habitación",4
356,150,"habitación",5
357,190,"por habitación",6
357,220,"habitación doble",7
357,190,"por habitación",8
357,220,"habitación doble",9
358,170,"habitación",10
358,170,"Habitacion",11
358,170,"Habitacion",12
358,170,"habitacion",13
358,170,"habitacion",14
358,180,"habitacion",15
358,180,"habitacion",16
359,200,"Dormitorios medianos",17
359,230,"Dormitorio principal",18
359,180,"Dormitorio pequeño",19
359,200,"Dormitorios medianos",20
359,230,"Dormitorio principal",21
359,180,"Dormitorio pequeño",22
360,150,"Habitacion menor",23
360,150,"Habitacion menor",24
361,200,"habitación",25
361,235,"Habitación individual",26
361,200,"habitación",27
361,235,"Habitación individual",28
362,230,"según habitación",29
362,350,"según habitación",30
362,230,"según habitación",31
362,350,"según habitación",32
363,150,"habitación",33
363,150,"habitación",34
364,150,"habitación",35
364,150,"habitación",36
365,125,"habitación",37
365,125,"habitación",38
366,200,"habitación",39
366,200,"habitación",40
367,215,"Habitacion doble",41
367,205,"Habitación sencilla",42
367,205,"Habitación sencilla",43
367,210,"habitacion doble",44
368,150,"habitación",45
368,150,"habitación",46
369,480,"mes",47
369,480,"mes",48
371,500,"mes",49
371,500,"mes",50
372,175,"habitación",51
372,175,"habitación",52
375,450,"piso completo",53
375,450,"piso completo",54
376,600,"piso completo",55
376,150,"habitación",56
376,600,"piso completo",57
376,150,"habitación",58
377,200,"habitación",59
377,200,"habitación",60
378,150,"habitacion mediana",61
378,165,"habitacion mediana",62
378,150,"habitacion mediana",63
378,165,"habitacion mediana",64
379,150,"habitación",65
379,150,"habitación",66
380,465,"piso completo",67
380,155,"habitación",68
380,465,"piso completo",69
380,155,"habitación",70
381,180,"habitación",71
381,180,"habitación",72
382,160,"habitación",73
382,160,"habitación",74
384,390,"piso completo",75
384,390,"piso completo",76
385,200,"habitación doble",77
385,180,"habitación",78
385,200,"habitación doble",79
385,180,"habitación",80
386,150,"habitación",81
386,150,"habitación",82
387,450,"piso completo",83
387,450,"piso completo",84
388,400,"piso completo",85
388,400,"piso completo",86
389,450,"piso completo",87
389,450,"piso completo",88
390,465,"piso completo",89
390,465,"piso completo",90
391,400,"piso completo",91
391,400,"piso completo",92
392,450,"piso completo",93
392,450,"piso completo",94
393,200,"habitación",95
393,200,"habitación",96
394,540,"piso completo",97
394,520,"Piso completo",98
394,520,"Piso completo",99
394,540,"piso completo",100
394,520,"Piso completo",101
394,520,"Piso completo",102
396,250,"Habitacion 1",103
396,250,"Habitacion 1",104
397,450,"piso completo",105
397,150,"habitación",106
397,450,"piso completo",107
397,150,"habitación",108
398,150,"habitación",109
398,150,"habitación",110
399,145,"habitación",111
399,145,"habitación",112
400,200,"habitación",113
400,200,"habitación",114
401,360,"piso completo",115
401,360,"piso completo",116
402,165,"habitación",117
402,165,"habitación",118
403,160,"habitación",119
403,160,"habitación",120
404,160,"habitación",121
404,160,"habitación",122
405,140,"habitación",123
405,140,"habitación",124
406,180,"habitación",125
406,180,"habitación",126
407,130,"habitación",127
407,130,"habitación",128
408,157,"habitación",129
408,157,"habitación",130
409,140,"habitación",131
409,140,"habitación",132
410,230,"habitación",133
410,230,"habitación",134
411,210,"Habitación grande",135
411,210,"Habitación grande",136
412,225,"habitación",137
412,225,"habitación",138
413,190,"habitación",139
413,190,"habitación",140
414,170,"habitación",141
414,170,"habitación",142
415,150,"habitación",143
415,150,"habitación",144
416,250,"habitación / mes",145
416,450,"piso completo / mes",146
416,250,"habitación / mes",147
416,450,"piso completo / mes",148
418,575,"piso completo",149
418,192,"habitación",150
418,575,"piso completo",151
418,192,"habitación",152
419,150,"habitación",153
419,150,"habitación",154
420,220,"habitación + gastos",155
420,220,"habitación + gastos",156
